"СРЕДНИЕ  ЦЕНЫ  НА  ТОВАРЫ	 РЕАЛИЗУЕМЫЕ В РОЗНИЧНОЙ СЕТИ (в магазинах и на городских рынках) *"								
"(в рублях за килограмм	 литр	 десяток	 изделие)"								
за октябрь 2019 года**								
								
								
	Республика	В том числе:						
	Беларусь	Брестская	Витебская	Гомельская	Гродненская	г. Минск	Минская	Могилевская
САХАР-ПЕСОК	1.52	1.51	1.52	1.52	1.51	1.53	1.51	1.51
ЧАЙ ЧЕРНЫЙ БАЙХОВЫЙ	35.99	36.48	36.42	34.60	38.11	33.11	39.86	37.34
КОФЕ НАТУРАЛЬНЫЙ МОЛОТЫЙ	30.85	33.42	30.21	28.09	33.97	29.52	34.11	27.96
КОФЕ РАСТВОРИМЫЙ	69.66	73.24	65.80	69.49	74.88	64.96	73.05	73.01
МЁД НАТУРАЛЬНЫЙ	13.71	13.50	13.37	13.46	13.70	15.63	12.29	11.25
СОЛЬ ПОВАРЕННАЯ ПИЩЕВАЯ	0.56	0.56	0.56	0.57	0.57	0.58	0.54	0.56
МУКА ПШЕНИЧНАЯ 	1.25	1.19	1.26	1.29	1.25	1.26	1.24	1.26
"ХЛЕБ РЖАНОЙ	 РЖАНО-ПШЕНИЧНЫЙ"	1.74	1.72	1.85	1.55	2.05	1.68	1.48	2.11
"ХЛЕБ	 ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ МУКИ ПШЕНИЧНОЙ ВЫСШЕГО СОРТА"	2.78	2.50	2.63	2.66	2.47	2.85	2.97	3.31
"ХЛЕБ	 ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ МУКИ ПШЕНИЧНОЙ ПЕРВОГО СОРТА"	1.77	1.80	2.14	2.05	2.09	1.28	1.66	2.08
ИЗДЕЛИЯ БУЛОЧНЫЕ СДОБНЫЕ ИЗ МУКИ ПШЕНИЧНОЙ ВЫСШЕГО СОРТА	4.75	5.25	4.05	5.00	4.10	4.33	5.67	5.12
"СУХАРИ	 СУШКИ	 БАРАНКИ"	5.31	4.39	5.59	5.19	4.66	5.55	5.93	5.53
"РИС ШЛИФОВАННЫЙ	 ПОЛИРОВАННЫЙ"	2.50	2.30	2.53	2.33	2.42	2.52	2.70	2.69
КРУПА МАННАЯ	1.61	1.51	1.58	1.56	1.55	1.69	1.61	1.70
КРУПА ПШЕННАЯ	2.91	2.54	3.19	2.96	2.74	3.07	2.97	2.68
КРУПА ГРЕЧНЕВАЯ	1.94	1.82	1.86	1.84	1.91	2.14	2.00	1.75
ХЛОПЬЯ ОВСЯНЫЕ	2.25	1.87	2.10	1.93	2.10	2.33	2.26	3.26
ХЛОПЬЯ КУКУРУЗНЫЕ 	7.24	6.99	6.44	7.29	7.55	7.51	7.32	7.23
КРУПА ПЕРЛОВАЯ	1.32	1.35	1.28	1.32	1.32	1.34	1.26	1.37
КАШИ ДЛЯ ДЕТСКОГО И ДИЕТИЧЕСКОГО ПИТАНИЯ	13.56	13.41	13.22	12.99	11.84	14.62	14.67	12.14
"ГОРОХ	 ФАСОЛЬ"	2.82	3.14	2.53	2.46	2.70	3.21	2.38	2.81
"МЮСЛИ	 ПРОЧИЕ СУХИЕ ЗАВТРАКИ ИЗ РАЗЛИЧНЫХ КРУП"	10.95	10.45	10.78	9.14	10.15	11.99	11.66	11.18
"МАКАРОНЫ	 РОЖКИ"	2.25	2.39	2.37	1.89	2.23	2.20	2.50	2.21
"ВЕРМИШЕЛЬ	 ЛАПША"	2.44	2.35	2.68	1.97	2.45	2.35	2.53	2.99
ВОДКА 	15.47	15.13	14.61	14.73	14.39	14.53	18.58	17.43
НАСТОЙКИ ГОРЬКИЕ КРЕПКИЕ	16.81	16.40	16.13	16.29	17.09	17.67	16.43	16.71
КОНЬЯК	36.88	32.61	38.10	37.82	37.95	36.23	36.85	40.70
ВИНО ВИНОГРАДНОЕ КРЕПЛЕНОЕ	12.34	12.19	9.99	10.20	12.34	14.03	11.64	14.50
ВИНО ВИНОГРАДНОЕ СТОЛОВОЕ	10.96	8.90	10.37	10.85	10.40	11.05	13.45	11.43
ПИВО	3.24	3.14	3.06	2.82	3.41	3.44	3.41	3.23
ВИНО ИГРИСТОЕ (ШАМПАНСКОЕ)	11.49	9.81	11.17	12.27	11.32	12.11	11.77	11.11
ВАФЛИ	6.96	6.59	7.32	6.94	6.76	7.12	7.17	6.53
ПРЯНИКИ	4.95	4.30	4.99	4.61	4.55	5.10	5.48	5.48
ПЕЧЕНЬЕ 	5.85	5.11	5.85	5.40	5.71	6.43	5.43	6.52
ТОРТ	11.48	11.43	10.72	11.87	11.19	12.29	10.67	11.02
ПИРОЖНЫЕ (за 1 шт. весом 100 г)	1.17	1.14	1.05	1.16	1.03	1.28	1.17	1.17
ИРИС	9.39	8.81	8.95	9.45	8.91	9.42	9.82	10.41
"КОНФЕТЫ ""КАРАМЕЛЬ"""	5.99	5.76	6.02	5.73	5.62	6.12	6.29	6.15
"КОНФЕТЫ	 ГЛАЗИРОВАННЫЕ ШОКОЛАДНОЙ ГЛАЗУРЬЮ"	14.07	12.36	13.30	12.08	13.20	16.12	14.22	14.90
"КОНФЕТЫ	 ГЛАЗИРОВАННЫЕ КОНДИТЕРСКОЙ  ГЛАЗУРЬЮ (типа ""Лимонные""	 ""Осенние"")"	8.42	7.48	8.66	7.91	8.52	8.73	8.37	9.20
ШОКОЛАД	22.32	21.79	22.37	22.10	22.42	22.41	21.83	23.56
ХАЛВА	7.40	7.37	7.09	6.92	7.38	7.75	7.38	7.49
МАРМЕЛАД	7.92	8.03	7.55	8.46	7.75	7.48	7.95	8.90
ЗЕФИР	8.61	7.89	8.63	8.65	8.56	9.28	7.95	8.57
КАКАО-ПОРОШОК (за 200 г)	3.04	2.81	2.92	3.23	2.95	3.29	2.72	3.02
КАРТОФЕЛЬ	0.67	0.67	0.63	0.60	0.57	0.79	0.66	0.60
ЧИПСЫ КАРТОФЕЛЬНЫЕ (за 100 г)	1.80	1.74	1.83	1.74	1.79	1.81	1.94	1.68
КАПУСТА БЕЛОКОЧАННАЯ СВЕЖАЯ	0.67	0.66	0.67	0.66	0.61	0.72	0.70	0.62
ЛУК РЕПЧАТЫЙ	0.93	0.86	0.83	0.85	0.87	1.07	0.93	0.88
СВЕКЛА	0.66	0.65	0.61	0.65	0.60	0.77	0.60	0.57
МОРКОВЬ	0.68	0.67	0.60	0.70	0.61	0.77	0.67	0.58
ПОМИДОРЫ СВЕЖИЕ	3.09	2.73	2.93	2.87	3.19	3.42	3.02	3.15
ОГУРЦЫ СВЕЖИЕ	3.40	3.43	3.39	3.28	3.70	3.31	3.49	3.34
ЧЕСНОК	7.07	6.57	6.91	6.52	7.21	7.48	7.43	6.92
ПЕРЕЦ СЛАДКИЙ	3.48	3.38	3.70	3.31	3.69	3.54	3.19	3.59
ОВОЩИ ЗАМОРОЖЕННЫЕ	5.05	4.36	4.91	5.14	4.76	5.73	4.73	4.86
ОВОЩИ КОНСЕРВИРОВАННЫЕ (включая стоимость посуды)	5.15	4.67	5.40	4.79	5.46	4.88	5.64	5.74
СОУС ТОМАТНЫЙ (включая стоимость посуды)	4.05	4.05	4.13	4.09	3.89	3.88	4.45	3.97
КЕТЧУП	5.40	5.14	5.28	5.31	5.42	5.54	5.77	5.10
ЯБЛОКИ	1.91	1.81	1.85	1.84	1.67	2.02	1.88	2.15
ГРУШИ	2.49	2.43	2.76	2.30	2.34	2.56	2.46	2.51
"ПЛОДЫ ЦИТРУСОВЫЕ (АПЕЛЬСИНЫ	 ЛИМОНЫ	 МАНДАРИНЫ)"	3.94	3.72	3.84	3.97	4.06	4.05	3.99	3.81
ВИНОГРАД	3.39	3.31	3.12	3.51	3.55	3.33	3.40	3.70
